date,open,high,low,close
"""1355371200000""","""5158.812608695653""","""5158.812608695653""","""5158.812608695653""","""5158.812608695653"""
"""1355374800000""","""5162.015652173913""","""5171.325217391304""","""5139.502173913043""","""5160.725217391304"""
"""1355378400000""","""5160.425652173913""","""5179.206086956521""","""5159.2043478260875""","""5178.722173913044"""
"""1355382000000""",,"""5182.823913043479""","""5169.689130434782""","""5181.095652173914"""
"""1355385600000""","""5180.980434782608""","""5190.912173913043""","""5175.749565217391""","""5181.256956521739"""
"""1355389200000""","""5181.233913043478""","""5194.345652173914""","""5180.381304347827""","""5191.62652173913"""
"""1355392800000""","""5191.257826086957""","""5196.626956521739""","""5174.436086956523""","""5183.976086956522"""
"""1355396400000""","""5184.022173913044""","""5192.824782608695""","""5182.017391304348""","""5191.580434782608"""
"""1355400000000""","""5191.373043478261""","""5196.534782608695""","""5181.072608695652""","""5190.105652173913"""
"""1355403600000""","""5189.8060869565215""",,"""5188.653913043478""","""5188.653913043478"""
"""1355630400000""",,,"""5218.12652173913""","""5218.12652173913"""
"""1355634000000""",,"""5238.036086956522""","""5220.361739130435""","""5228.841739130435"""
"""1355637600000""","""5229.026086956522""",,"""5223.150000000001""","""5252.484347826087"""
"""1355641200000""","""5252.599565217391""",,"""5252.576521739131""","""5266.103043478261"""
"""1355644800000""","""5266.010869565217""","""5276.795217391304""",,"""5275.09"""
"""1355648400000""","""5274.83652173913""",,,"""5268.73"""
"""1355652000000""","""5268.753043478261""","""5277.647826086957""","""5259.305217391305""","""5273.016086956522"""
"""1355655600000""","""5272.993043478262""","""5297.2808695652175""","""5272.370869565218""","""5292.487826086956"""
"""1355659200000""",,"""5321.7991304347825""","""5283.385652173913""","""5321.499565217391"""
"""1355662800000""","""5320.923478260869""","""5326.269565217392""","""5320.923478260869""","""5326.269565217392"""
"""1355716800000""","""5340.28""","""5349.796956521739""",,"""5349.796956521739"""
"""1355720400000""","""5357.147826086957""","""5372.379565217391""","""5330.325217391304""","""5351.1104347826085"""
"""1355724000000""","""5351.986086956522""","""5369.199565217392""","""5350.442173913043""","""5368.485217391304"""
"""1355727600000""","""5368.185652173914""","""5379.569130434783""","""5366.365217391305""","""5374.568695652174"""
"""1355731200000""","""5374.960434782609""","""5378.601304347826""","""5360.028260869566""","""5368.946086956522"""
"""1355734800000""","""5368.807826086957""","""5389.82347826087""","""5366.273043478262""","""5384.7769565217395"""
"""1355738400000""","""5384.823043478261""","""5400.216086956521""","""5383.071739130435""","""5387.634347826088"""
